month_num,day,interval,service_level,call_volume,abandoned_calls,abandoned_rate,cct,date,slot_index,interval_start_hour,is_weekend,day_of_week,daypart,overnight_flag,slot_missing_flag,was_duplicate_resolved,was_imputed_call_volume,was_imputed_abandoned_calls,was_imputed_abandoned_rate,was_imputed_cct,was_imputed_service_level
4,1,00:00:00,1.0,22.0,0.0,0.0,480.05,2025-04-01,0,0,False,1,overnight,1,False,0,0,0,0,0,0
4,1,00:30:00,0.9523999999999999,21.0,0.0,0.0,301.71,2025-04-01,1,0,False,1,overnight,1,False,0,0,0,0,0,0
4,1,01:00:00,1.0,8.0,0.0,0.0,501.88,2025-04-01,2,1,False,1,overnight,1,False,0,0,0,0,0,0
4,1,01:30:00,1.0,4.0,0.0,0.0,468.75,2025-04-01,3,1,False,1,overnight,1,False,0,0,0,0,0,0
4,1,02:00:00,1.0,4.0,0.0,0.0,285.5,2025-04-01,4,2,False,1,overnight,1,False,0,0,0,0,0,0
4,1,02:30:00,1.0,3.0,0.0,0.0,243.33,2025-04-01,5,2,False,1,overnight,1,False,0,0,0,0,0,0
4,1,03:00:00,1.0,3.0,0.0,0.0,313.67,2025-04-01,6,3,False,1,overnight,1,False,0,0,0,0,0,0
4,1,03:30:00,1.0,1.0,0.0,0.0,284.0,2025-04-01,7,3,False,1,overnight,1,False,0,0,0,0,0,0
4,1,04:00:00,1.0,1.0,0.0,0.0,60.0,2025-04-01,8,4,False,1,overnight,1,False,0,0,0,0,0,0
4,1,04:30:00,1.0,2.0,0.0,0.0,378.5,2025-04-01,9,4,False,1,overnight,1,False,0,0,0,0,0,0
4,1,05:00:00,1.0,1.0,0.0,0.0,134.0,2025-04-01,10,5,False,1,overnight,1,False,0,0,0,0,0,0
4,1,05:30:00,1.0,5.0,0.0,0.0,203.8,2025-04-01,11,5,False,1,overnight,1,False,0,0,0,0,0,0
4,1,06:00:00,1.0,3.0,0.0,0.0,232.33,2025-04-01,12,6,False,1,morning,0,False,0,0,0,0,0,0
4,1,06:30:00,1.0,5.0,2.0,0.4,149.0,2025-04-01,13,6,False,1,morning,0,False,0,0,0,0,0,0
4,1,07:00:00,0.8946999999999999,19.0,0.0,0.0,338.84,2025-04-01,14,7,False,1,morning,0,False,0,0,0,0,0,0
4,1,07:30:00,0.9677,31.0,0.0,0.0,347.55,2025-04-01,15,7,False,1,morning,0,False,0,0,0,0,0,0
4,1,08:00:00,1.0,64.0,0.0,0.0,247.95,2025-04-01,16,8,False,1,morning,0,False,0,0,0,0,0,0
4,1,08:30:00,1.0,111.0,3.0,0.027000000000000003,309.07,2025-04-01,17,8,False,1,morning,0,False,0,0,0,0,0,0
4,1,09:00:00,1.0,144.0,0.0,0.0,306.46,2025-04-01,18,9,False,1,morning,0,False,0,0,0,0,0,0
4,1,09:30:00,0.996,253.0,0.0,0.0,297.44,2025-04-01,19,9,False,1,morning,0,False,0,0,0,0,0,0
4,1,10:00:00,0.9853000000000001,275.0,2.0,0.0073,295.53,2025-04-01,20,10,False,1,morning,0,False,0,0,0,0,0,0
4,1,10:30:00,0.9106000000000001,304.0,2.0,0.0066,328.72,2025-04-01,21,10,False,1,morning,0,False,0,0,0,0,0,0
4,1,11:00:00,0.9246,347.0,2.0,0.0058,334.68,2025-04-01,22,11,False,1,morning,0,False,0,0,0,0,0,0
4,1,11:30:00,0.8852,400.0,8.0,0.02,307.29,2025-04-01,23,11,False,1,morning,0,False,0,0,0,0,0,0
4,1,12:00:00,0.9168999999999999,424.0,3.0,0.0070999999999999995,345.98,2025-04-01,24,12,False,1,afternoon,0,False,0,0,0,0,0,0
4,1,12:30:00,0.9789,382.0,2.0,0.0052,351.69,2025-04-01,25,12,False,1,afternoon,0,False,0,0,0,0,0,0
4,1,13:00:00,0.9636,467.0,0.0,0.0,348.8,2025-04-01,26,13,False,1,afternoon,0,False,0,0,0,0,0,0
4,1,13:30:00,0.8608,434.0,3.0,0.0069,348.35,2025-04-01,27,13,False,1,afternoon,0,False,0,0,0,0,0,0
4,1,14:00:00,0.9865,447.0,3.0,0.0067,319.33,2025-04-01,28,14,False,1,afternoon,0,False,0,0,0,0,0,0
4,1,14:30:00,0.6572,508.0,15.0,0.029500000000000002,343.38,2025-04-01,29,14,False,1,afternoon,0,False,0,0,0,0,0,0
4,1,15:00:00,0.9875,481.0,1.0,0.0021,319.81,2025-04-01,30,15,False,1,afternoon,0,False,0,0,0,0,0,0
4,1,15:30:00,0.9956999999999999,462.0,0.0,0.0,351.58,2025-04-01,31,15,False,1,afternoon,0,False,0,0,0,0,0,0
4,1,16:00:00,0.9736,416.0,0.0,0.0,369.78,2025-04-01,32,16,False,1,afternoon,0,False,0,0,0,0,0,0
4,1,16:30:00,0.9879000000000001,412.0,0.0,0.0,329.54,2025-04-01,33,16,False,1,afternoon,0,False,0,0,0,0,0,0
4,1,17:00:00,0.8295,440.0,6.0,0.013600000000000001,332.2,2025-04-01,34,17,False,1,afternoon,0,False,0,0,0,0,0,0
4,1,17:30:00,0.9849,400.0,2.0,0.005,350.52,2025-04-01,35,17,False,1,afternoon,0,False,0,0,0,0,0,0
4,1,18:00:00,0.7628,393.0,1.0,0.0025,337.72,2025-04-01,36,18,False,1,evening,0,False,0,0,0,0,0,0
4,1,18:30:00,0.7893000000000001,339.0,2.0,0.0059,353.46,2025-04-01,37,18,False,1,evening,0,False,0,0,0,0,0,0
4,1,19:00:00,0.8469,298.0,4.0,0.0134,365.92,2025-04-01,38,19,False,1,evening,0,False,0,0,0,0,0,0
4,1,19:30:00,0.9579000000000001,287.0,2.0,0.006999999999999999,361.16,2025-04-01,39,19,False,1,evening,0,False,0,0,0,0,0,0
4,1,20:00:00,0.9276000000000001,224.0,3.0,0.0134,310.38,2025-04-01,40,20,False,1,evening,0,False,0,0,0,0,0,0
4,1,20:30:00,0.7406999999999999,218.0,2.0,0.0092,347.15,2025-04-01,41,20,False,1,evening,0,False,0,0,0,0,0,0
4,1,21:00:00,0.9697,166.0,1.0,0.006,335.01,2025-04-01,42,21,False,1,evening,0,False,0,0,0,0,0,0
