date,call_volume,cct,service_level,abandon_rate,is_train_period,is_aug_holdout,is_post_aug,call_volume_was_missing,cct_was_missing,service_level_was_missing,abandon_rate_was_missing
2024-01-01,2147.0,302.45,0.9854999999999999,0.0037,True,False,False,0,0,0,0
2024-01-02,7458.0,349.22,0.5213,0.11359999999999999,True,False,False,0,0,0,0
2024-01-03,6882.0,331.07,0.7045999999999999,0.0432,True,False,False,0,0,0,0
2024-01-04,6208.0,341.8,0.72,0.0403,True,False,False,0,0,0,0
2024-01-05,6190.0,334.56,0.8062999999999999,0.0291,True,False,False,0,0,0,0
2024-01-06,3529.0,323.18,0.9673,0.0034000000000000002,True,False,False,0,0,0,0
2024-01-07,1611.0,269.32,0.9706999999999999,0.005600000000000001,True,False,False,0,0,0,0
2024-01-08,6688.0,343.75,0.8036,0.0173,True,False,False,0,0,0,0
2024-01-09,5126.0,334.94,0.9122,0.009000000000000001,True,False,False,0,0,0,0
2024-01-10,5793.0,340.56,0.8879,0.0097,True,False,False,0,0,0,0
2024-01-11,5408.0,324.22,0.9274,0.0089,True,False,False,0,0,0,0
2024-01-12,4902.0,333.5,0.963,0.006500000000000001,True,False,False,0,0,0,0
2024-01-13,3337.0,316.16,0.9426000000000001,0.0087,True,False,False,0,0,0,0
2024-01-14,1370.0,274.25,0.9712999999999999,0.0066,True,False,False,0,0,0,0
2024-01-15,4046.0,326.06,0.966,0.0044,True,False,False,0,0,0,0
2024-01-16,4893.0,339.49,0.9666,0.0039000000000000003,True,False,False,0,0,0,0
2024-01-17,5538.0,327.6,0.9020999999999999,0.008100000000000001,True,False,False,0,0,0,0
2024-01-18,5059.0,325.83,0.8212999999999999,0.019,True,False,False,0,0,0,0
2024-01-19,5267.0,330.49,0.8563,0.013999999999999999,True,False,False,0,0,0,0
2024-01-20,3569.0,320.37,0.9682,0.0073,True,False,False,0,0,1,0
2024-01-21,1327.0,295.66,0.9416,0.0098,True,False,False,0,0,1,0
2024-01-22,5740.0,333.27,0.94,0.009399999999999999,True,False,False,0,0,1,0
2024-01-23,5443.0,333.75,0.9099,0.0064,True,False,False,0,0,1,0
2024-01-24,5136.0,327.31,0.9075,0.0101,True,False,False,0,0,1,0
2024-01-25,5276.0,321.68,0.9321,0.0127,True,False,False,0,0,1,0
2024-01-26,4982.0,322.34,0.8678,0.014499999999999999,True,False,False,0,0,0,0
2024-01-27,3440.0,299.77,0.9711,0.0034999999999999996,True,False,False,0,0,0,0
2024-01-28,1462.0,270.0,0.8916,0.0089,True,False,False,0,0,0,0
2024-01-29,5399.0,321.72,0.9643,0.0043,True,False,False,0,0,0,0
2024-01-30,5202.0,310.12,0.9212,0.0052,True,False,False,0,0,0,0
2024-01-31,5687.0,315.97,0.8209000000000001,0.0213,True,False,False,0,0,0,0
2024-02-01,6089.0,279.87,0.9570000000000001,0.0055000000000000005,True,False,False,0,0,0,0
2024-02-02,5955.0,314.45,0.8893000000000001,0.0131,True,False,False,0,0,0,0
2024-02-03,3884.0,327.51,0.851,0.0233,True,False,False,0,0,0,0
2024-02-04,1483.0,324.53,0.943,0.0092,True,False,False,0,0,0,0
2024-02-05,6622.0,297.62,0.9697,0.0096,True,False,False,0,0,0,0
2024-02-06,5655.0,341.61,0.9326000000000001,0.0078000000000000005,True,False,False,0,0,0,0
2024-02-07,5199.0,327.75,0.8956999999999999,0.010700000000000001,True,False,False,0,0,0,0
2024-02-08,5131.0,317.4,0.9512,0.005699999999999999,True,False,False,0,0,0,0
2024-02-09,4687.0,308.97,0.9945999999999999,0.002,True,False,False,0,0,0,0
2024-02-10,3300.0,329.39,0.9887999999999999,0.0027,True,False,False,0,0,0,0
2024-02-11,1237.0,305.5,0.9305,0.0064,True,False,False,0,0,0,0
2024-02-12,4941.0,287.65,0.9558,0.0073,True,False,False,0,0,0,0
2024-02-13,4997.0,331.31,0.9367,0.0063,True,False,False,0,0,0,0
2024-02-14,4746.0,326.21,0.9534,0.0072,True,False,False,0,0,0,0
2024-02-15,4684.0,331.78,0.9120999999999999,0.008,True,False,False,0,0,0,0
2024-02-16,4776.0,319.01,0.9097,0.013999999999999999,True,False,False,0,0,0,0
2024-02-17,3337.0,328.52,0.9317,0.0089,True,False,False,0,0,0,0
2024-02-18,1348.0,303.38,0.8697,0.0178,True,False,False,0,0,0,0
2024-02-19,4745.0,292.52,0.9645,0.0043,True,False,False,0,0,0,0
2024-02-20,4913.0,317.84,0.9898,0.001,True,False,False,0,0,0,0
2024-02-21,4793.0,328.07,0.9312,0.0077,True,False,False,0,0,0,0
2024-02-22,4556.0,337.22,0.8779,0.013600000000000001,True,False,False,0,0,0,0
2024-02-23,4813.0,327.4,0.9085,0.0095,True,False,False,0,0,0,0
2024-02-24,3054.0,323.73,0.9076000000000001,0.0068000000000000005,True,False,False,0,0,0,0
2024-02-25,1399.0,298.79,0.8440000000000001,0.0218,True,False,False,0,0,0,0
2024-02-26,4897.0,282.1,0.9497,0.0055000000000000005,True,False,False,0,0,0,0
2024-02-27,4512.0,326.8,0.9358,0.0054,True,False,False,0,0,0,0
2024-02-28,4523.0,310.92,0.9840000000000001,0.0011,True,False,False,0,0,0,0
2024-02-29,4972.0,318.99,0.951,0.0054,True,False,False,0,0,0,0
2024-03-01,5476.0,324.84,0.9311,0.0087,True,False,False,0,0,0,0
2024-03-02,3825.0,330.3,0.8887999999999999,0.011200000000000002,True,False,False,0,0,0,0
2024-03-03,1387.0,317.56,0.7931,0.0274,True,False,False,0,0,0,0
2024-03-04,5347.0,307.42,0.8495999999999999,0.020499999999999997,True,False,False,0,0,0,0
2024-03-05,5043.0,308.7,0.8427,0.0165,True,False,False,0,0,0,0
2024-03-06,4653.0,275.76,0.94,0.0115,True,False,False,0,0,0,0
2024-03-07,4489.0,325.52,0.7390000000000001,0.0331,True,False,False,0,0,0,0
2024-03-08,4496.0,321.56,0.9301999999999999,0.0070999999999999995,True,False,False,0,0,0,0
2024-03-09,2961.0,313.31,0.9521,0.004,True,False,False,0,0,0,0
2024-03-10,1211.0,307.87,0.951,0.006,True,False,False,0,0,0,0
2024-03-11,5459.0,314.33,0.8967,0.0102,True,False,False,0,0,0,0
2024-03-12,4542.0,302.6,0.95,0.0055000000000000005,True,False,False,0,0,0,0
2024-03-13,4587.0,277.99,0.9582999999999999,0.0121,True,False,False,0,0,0,0
2024-03-14,4573.0,316.67,0.9118,0.0060999999999999995,True,False,False,0,0,0,0
2024-03-15,4285.0,328.52,0.9044,0.0074,True,False,False,0,0,0,0
2024-03-16,3425.0,300.7,0.9251999999999999,0.0118,True,False,False,0,0,0,0
2024-03-17,1488.0,309.27,0.9022,0.0092,True,False,False,0,0,0,0
2024-03-18,5367.0,303.8,0.9395,0.0069,True,False,False,0,0,0,0
2024-03-19,5017.0,306.58,0.8767,0.0132,True,False,False,0,0,0,0
2024-03-20,5233.0,286.11,0.8981,0.0171,True,False,False,0,0,0,0
2024-03-21,4773.0,308.82,0.9388,0.0048,True,False,False,0,0,0,0
2024-03-22,4702.0,307.17,0.9284,0.0106,True,False,False,0,0,0,0
2024-03-23,3707.0,314.44,0.9146,0.0083,True,False,False,0,0,0,0
2024-03-24,1476.0,312.19,0.9035,0.0083,True,False,False,0,0,0,0
2024-03-25,5533.0,315.44,0.8835,0.0104,True,False,False,0,0,0,0
2024-03-26,4465.0,290.85,0.9148000000000001,0.0118,True,False,False,0,0,0,0
2024-03-27,4840.0,271.0,0.9287000000000001,0.0179,True,False,False,0,0,0,0
2024-03-28,4817.0,321.32,0.8968,0.0084,True,False,False,0,0,0,0
2024-03-29,4600.0,315.22,0.9287000000000001,0.0058,True,False,False,0,0,0,0
2024-03-30,3561.0,304.88,0.9036,0.0113,True,False,False,0,0,0,0
2024-03-31,594.0,306.22,0.8736,0.013500000000000002,True,False,False,0,0,0,0
2024-04-01,5958.0,302.04,0.8676999999999999,0.0175,True,False,False,0,0,0,0
2024-04-02,5738.0,291.39,0.9355,0.0138,True,False,False,0,0,0,0
2024-04-03,5702.0,326.33,0.9285,0.005600000000000001,True,False,False,0,0,0,0
2024-04-04,5237.0,319.4,0.9649,0.0022,True,False,False,0,0,0,0
2024-04-05,5505.0,326.77,0.9157,0.0103,True,False,False,0,0,0,0
2024-04-06,3615.0,323.16,0.9884999999999999,0.0018,True,False,False,0,0,0,0
2024-04-07,1434.0,329.64,0.9318000000000001,0.0076,True,False,False,0,0,0,0
2024-04-08,4937.0,306.97,0.6551,0.0608,True,False,False,0,0,0,0
2024-04-09,4805.0,294.4,0.9699,0.0,True,False,False,0,0,0,0
2024-04-10,4728.0,340.69,0.9648,0.0027,True,False,False,0,0,0,0
2024-04-11,4870.0,323.91,0.9277,0.0077,True,False,False,0,0,0,0
2024-04-12,4462.0,320.1,0.9172,0.0089,True,False,False,0,0,0,0
2024-04-13,3094.0,321.56,0.9096,0.0109,True,False,False,0,0,0,0
2024-04-14,1352.0,330.01,0.8896999999999999,0.0118,True,False,False,0,0,0,0
2024-04-15,5397.0,305.88,0.8656,0.021099999999999997,True,False,False,0,0,0,0
2024-04-16,4674.0,280.89,0.966,0.0076,True,False,False,0,0,0,0
2024-04-17,4768.0,310.92,0.9892,0.0007000000000000001,True,False,False,0,0,0,0
2024-04-18,4580.0,319.46,0.958,0.0029,True,False,False,0,0,0,0
2024-04-19,4671.0,332.65,0.9407,0.0054,True,False,False,0,0,0,0
2024-04-20,3124.0,327.14,0.8843000000000001,0.0126,True,False,False,0,0,0,0
2024-04-21,1429.0,315.03,0.9281999999999999,0.0074,True,False,False,0,0,0,0
2024-04-22,5416.0,312.62,0.8951,0.018799999999999997,True,False,False,0,0,0,0
2024-04-23,4845.0,297.94,0.98,0.0016,True,False,False,0,0,0,0
2024-04-24,4882.0,326.93,0.9758,0.0034000000000000002,True,False,False,0,0,0,0
2024-04-25,4716.0,307.34,0.9745999999999999,0.0039000000000000003,True,False,False,0,0,0,0
2024-04-26,4474.0,311.38,0.8663,0.0886,True,False,False,0,0,0,0
2024-04-27,3202.0,302.46,0.9475,0.0045000000000000005,True,False,False,0,0,0,0
2024-04-28,1438.0,319.58,0.907,0.0131,True,False,False,0,0,0,0
2024-04-29,5088.0,315.77,0.9070999999999999,0.0131,True,False,False,0,0,0,0
2024-04-30,4954.0,285.87,0.9288,0.0092,True,False,False,0,0,0,0
2024-05-01,5549.0,263.46,0.976,0.0079,True,False,False,0,0,0,0
2024-05-02,5296.0,317.27,0.9594,0.0062,True,False,False,0,0,0,0
2024-05-03,5337.0,316.69,0.9576,0.0048,True,False,False,0,0,0,0
2024-05-04,3668.0,315.09,0.9623999999999999,0.0052,True,False,False,0,0,0,0
2024-05-05,1837.0,308.99,0.9819,0.002,True,False,False,0,0,0,0
2024-05-06,5722.0,304.08,0.985,0.0053,True,False,False,0,0,0,0
2024-05-07,5155.0,299.56,0.9868000000000001,0.0027,True,False,False,0,0,0,0
2024-05-08,4977.0,278.57,0.9834,0.0040999999999999995,True,False,False,0,0,0,0
2024-05-09,4891.0,310.08,0.9215000000000001,0.008199999999999999,True,False,False,0,0,0,0
2024-05-10,4840.0,307.32,0.971,0.0051,True,False,False,0,0,0,0
2024-05-11,3512.0,315.91,0.8611,0.0161,True,False,False,0,0,0,0
2024-05-12,1132.0,299.62,0.8856,0.012,True,False,False,0,0,0,0
2024-05-13,4971.0,306.45,0.8262999999999999,0.026099999999999998,True,False,False,0,0,0,0
2024-05-14,4903.0,289.88,0.8269,0.020099999999999996,True,False,False,0,0,0,0
2024-05-15,4703.0,275.39,0.8134999999999999,0.045,True,False,False,0,0,0,0
2024-05-16,4650.0,313.55,0.8456,0.0127,True,False,False,0,0,0,0
2024-05-17,5039.0,308.89,0.8809999999999999,0.0132,True,False,False,0,0,0,0
2024-05-18,3620.0,308.24,0.8442000000000001,0.0189,True,False,False,0,0,0,0
2024-05-19,1544.0,302.85,0.8103,0.0216,True,False,False,0,0,0,0
2024-05-20,5564.0,305.33,0.9606,0.005699999999999999,True,False,False,0,0,0,0
2024-05-21,4684.0,273.09,0.9046,0.015600000000000001,True,False,False,0,0,0,0
2024-05-22,4715.0,258.93,0.9679000000000001,0.0068000000000000005,True,False,False,0,0,0,0
2024-05-23,4794.0,310.37,0.8889,0.0137,True,False,False,0,0,0,0
2024-05-24,4786.0,316.53,0.8756,0.011899999999999999,True,False,False,0,0,0,0
2024-05-25,3502.0,304.63,0.9196,0.010700000000000001,True,False,False,0,0,0,0
2024-05-26,1407.0,295.22,0.932,0.011200000000000002,True,False,False,0,0,0,0
2024-05-27,3209.0,284.69,0.9662999999999999,0.0054,True,False,False,0,0,0,0
2024-05-28,5473.0,269.47,0.9309000000000001,0.0084,True,False,False,0,0,0,0
2024-05-29,4810.0,245.04,0.9747,0.0034000000000000002,True,False,False,0,0,0,0
2024-05-30,4931.0,311.3,0.8826,0.022000000000000002,True,False,False,0,0,0,0
2024-05-31,5264.0,295.61,0.8995000000000001,0.0137,True,False,False,0,0,0,0
2024-06-01,3678.0,308.17,0.9423999999999999,0.008199999999999999,True,False,False,0,0,0,0
2024-06-02,1633.0,315.03,0.9620000000000001,0.0079,True,False,False,0,0,0,0
2024-06-03,6408.0,317.47,0.9490999999999999,0.0062,True,False,False,0,0,0,0
2024-06-04,5851.0,320.99,0.9434,0.006,True,False,False,0,0,0,0
2024-06-05,5283.0,323.7,0.9890000000000001,0.002,True,False,False,0,0,0,0
2024-06-06,4718.5,315.48,0.9196,0.0083,True,False,False,1,1,0,0
2024-06-07,4617.0,299.95000000000005,0.9538,0.0060999999999999995,True,False,False,1,1,0,0
2024-06-08,3236.0,305.9,0.9775,0.0029,True,False,False,1,1,0,0
2024-06-09,1417.5,318.09,0.9359000000000001,0.0073,True,False,False,1,1,0,0
2024-06-10,5596.0,324.54,0.9396,0.0052,True,False,False,1,1,0,0
2024-06-11,5402.0,310.34,0.9398000000000001,0.0070999999999999995,True,False,False,0,0,0,0
2024-06-12,4978.0,306.48,0.9593,0.0051,True,False,False,0,0,0,0
2024-06-13,4820.0,291.2,0.9156,0.0264,True,False,False,0,0,0,0
2024-06-14,4965.0,282.76,0.9338,0.0175,True,False,False,0,0,0,0
2024-06-15,3358.0,305.9,0.9704999999999999,0.0063,True,False,False,0,0,0,0
2024-06-16,1319.0,304.81,0.9788,0.0015,True,False,False,0,0,0,0
2024-06-17,5656.0,307.61,0.8833,0.0147,True,False,False,0,0,0,0
2024-06-18,5368.0,307.3,0.953,0.0085,True,False,False,0,0,0,0
2024-06-19,4712.0,318.93,0.9672,0.0028000000000000004,True,False,False,0,0,0,0
2024-06-20,5063.0,303.19,0.8442000000000001,0.0235,True,False,False,0,0,0,0
2024-06-21,4936.0,297.55,0.8923000000000001,0.0175,True,False,False,0,0,0,0
2024-06-22,3236.0,314.19,0.9687,0.0051,True,False,False,0,0,0,0
