date,slot_index,month,day,interval,service_level,call_volume,abandoned_calls,abandoned_rate,cct,month_num,interval_start_hour,overnight_flag,is_weekend,slot_missing_flag,low_volume_flag,call_volume_was_missing,abandoned_calls_was_missing,cct_was_missing,service_level_was_missing,abandoned_rate_was_missing
2025-04-01,0,4,1,,,277.0,1.0,0.0036101083032490976,330.14,,0,True,False,True,True,1,1,1,1,1
2025-04-01,1,4,1,,,277.0,1.0,0.0036101083032490976,330.14,,0,True,False,True,True,1,1,1,1,1
2025-04-01,2,4,1,,,277.0,1.0,0.0036101083032490976,330.14,,1,True,False,True,True,1,1,1,1,1
2025-04-01,3,4,1,,,277.0,1.0,0.0036101083032490976,330.14,,1,True,False,True,True,1,1,1,1,1
2025-04-01,4,4,1,,,277.0,1.0,0.0036101083032490976,330.14,,2,True,False,True,True,1,1,1,1,1
2025-04-01,5,4,1,,,277.0,1.0,0.0036101083032490976,330.14,,2,True,False,True,True,1,1,1,1,1
2025-04-01,6,4,1,,,277.0,1.0,0.0036101083032490976,330.14,,3,True,False,True,True,1,1,1,1,1
2025-04-01,7,4,1,,,277.0,1.0,0.0036101083032490976,330.14,,3,True,False,True,True,1,1,1,1,1
2025-04-01,8,4,1,,,277.0,1.0,0.0036101083032490976,330.14,,4,True,False,True,True,1,1,1,1,1
2025-04-01,9,4,1,,,277.0,1.0,0.0036101083032490976,330.14,,4,True,False,True,True,1,1,1,1,1
2025-04-01,10,4,1,,,277.0,1.0,0.0036101083032490976,330.14,,5,True,False,True,True,1,1,1,1,1
2025-04-01,11,4,1,,,277.0,1.0,0.0036101083032490976,330.14,,5,True,False,True,True,1,1,1,1,1
2025-04-01,12,4,1,,,277.0,1.0,0.0036101083032490976,330.14,,6,True,False,True,True,1,1,1,1,1
2025-04-01,13,4,1,,,277.0,1.0,0.0036101083032490976,330.14,,6,True,False,True,True,1,1,1,1,1
2025-04-01,14,4,1,,,277.0,1.0,0.0036101083032490976,330.14,,7,False,False,True,True,1,1,1,1,1
2025-04-01,15,4,1,,,277.0,1.0,0.0036101083032490976,330.14,,7,False,False,True,True,1,1,1,1,1
2025-04-01,16,4,1,,,277.0,1.0,0.0036101083032490976,330.14,,8,False,False,True,True,1,1,1,1,1
2025-04-01,17,4,1,,,277.0,1.0,0.0036101083032490976,330.14,,8,False,False,True,True,1,1,1,1,1
2025-04-01,18,4,1,,,277.0,1.0,0.0036101083032490976,330.14,,9,False,False,True,True,1,1,1,1,1
2025-04-01,19,4,1,,,277.0,1.0,0.0036101083032490976,330.14,,9,False,False,True,True,1,1,1,1,1
2025-04-01,20,4,1,10:00,,275.0,2.0,0.007272727272727273,295.53,4.0,10,False,False,False,False,0,0,0,1,1
2025-04-01,21,4,1,10:30,,304.0,2.0,0.006578947368421052,328.72,4.0,10,False,False,False,False,0,0,0,1,1
2025-04-01,22,4,1,11:00,,347.0,2.0,0.005763688760806916,334.68,4.0,11,False,False,False,False,0,0,0,1,1
2025-04-01,23,4,1,11:30,,400.0,8.0,0.02,307.29,4.0,11,False,False,False,False,0,0,0,1,1
2025-04-01,24,4,1,12:00,,424.0,3.0,0.007075471698113208,345.98,4.0,12,False,False,False,False,0,0,0,1,1
2025-04-01,25,4,1,12:30,,382.0,2.0,0.005235602094240838,351.69,4.0,12,False,False,False,False,0,0,0,1,1
2025-04-01,26,4,1,13:00,,467.0,0.0,0.0,348.8,4.0,13,False,False,False,False,0,0,0,1,1
2025-04-01,27,4,1,13:30,,434.0,3.0,0.0069124423963133645,348.35,4.0,13,False,False,False,False,0,0,0,1,1
2025-04-01,28,4,1,14:00,,447.0,3.0,0.006711409395973154,319.33,4.0,14,False,False,False,False,0,0,0,1,1
2025-04-01,29,4,1,14:30,,508.0,15.0,0.02952755905511811,343.38,4.0,14,False,False,False,False,0,0,0,1,1
2025-04-01,30,4,1,15:00,,481.0,1.0,0.002079002079002079,319.81,4.0,15,False,False,False,False,0,0,0,1,1
2025-04-01,31,4,1,15:30,,462.0,0.0,0.0,351.58,4.0,15,False,False,False,False,0,0,0,1,1
2025-04-01,32,4,1,16:00,,416.0,0.0,0.0,369.78,4.0,16,False,False,False,False,0,0,0,1,1
2025-04-01,33,4,1,16:30,,412.0,0.0,0.0,329.54,4.0,16,False,False,False,False,0,0,0,1,1
2025-04-01,34,4,1,17:00,,440.0,6.0,0.013636363636363636,332.2,4.0,17,False,False,False,False,0,0,0,1,1
2025-04-01,35,4,1,17:30,,400.0,2.0,0.005,350.52,4.0,17,False,False,False,False,0,0,0,1,1
2025-04-01,36,4,1,18:00,,393.0,1.0,0.002544529262086514,337.72,4.0,18,False,False,False,False,0,0,0,1,1
2025-04-01,37,4,1,18:30,,339.0,2.0,0.0058997050147492625,353.46,4.0,18,False,False,False,False,0,0,0,1,1
2025-04-01,38,4,1,19:00,,298.0,4.0,0.013422818791946308,365.92,4.0,19,False,False,False,False,0,0,0,1,1
2025-04-01,39,4,1,19:30,,287.0,2.0,0.006968641114982578,361.16,4.0,19,False,False,False,False,0,0,0,1,1
2025-04-01,40,4,1,20:00,,224.0,3.0,0.013392857142857142,310.38,4.0,20,False,False,False,False,0,0,0,1,1
