Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,7,0.0,0.0,392.64,41,0.0,0.0,331.5,88,0.0,0.0,356.12,47,0.0,0.0,326.59
August,1,0:30,5,0.0,0.0,346.39,30,0.0,0.0,308.47,61,1.0,0.016393,316.54,33,0.0,0.0,298.96
August,1,1:00,4,0.0,0.0,323.3,13,0.0,0.0,433.22,43,3.0,0.069767,327.1,24,1.0,0.041667,363.42
August,1,1:30,4,0.0,0.0,294.83,8,0.0,0.0,251.61,32,1.0,0.03125,311.48,18,1.0,0.055556,292.56
August,1,2:00,2,0.0,0.0,236.03,7,0.0,0.0,367.07,21,1.0,0.047619,312.49,12,1.0,0.083333,336.35
August,1,2:30,1,0.0,0.0,343.44,5,0.0,0.0,377.46,22,2.0,0.090909,328.61,10,0.0,0.0,304.6
August,1,3:00,2,0.0,0.0,205.04,5,0.0,0.0,362.93,13,1.0,0.076923,388.06,3,0.0,0.0,411.29
August,1,3:30,2,0.0,0.0,183.63,4,0.0,0.0,374.96,16,0.0,0.0,377.22,1,0.0,0.0,168.23
August,1,4:00,1,0.0,0.0,282.52,4,0.0,0.0,330.03,15,1.0,0.066667,301.41,1,0.0,0.0,321.28
August,1,4:30,2,0.0,0.0,229.11,4,0.0,0.0,236.43,15,0.0,0.0,347.96,1,0.0,0.0,433.43
August,1,5:00,2,0.0,0.0,265.29,4,0.0,0.0,253.61,21,1.0,0.047619,302.74,1,0.0,0.0,331.68
August,1,5:30,2,0.0,0.0,236.9,5,0.0,0.0,312.89,20,1.0,0.05,324.56,1,0.0,0.0,270.23
August,1,6:00,3,0.0,0.0,240.53,7,1.0,0.142857,305.57,38,0.0,0.0,283.59,12,0.0,0.0,247.16
August,1,6:30,4,1.0,0.25,312.91,8,3.0,0.375,351.1,64,4.0,0.0625,264.95,27,4.0,0.148148,256.9
August,1,7:00,12,1.0,0.083333,306.81,41,1.0,0.02439,263.91,104,2.0,0.019231,269.82,49,1.0,0.020408,255.48
August,1,7:30,18,1.0,0.055556,329.96,57,1.0,0.017544,295.34,175,6.0,0.034286,266.01,77,2.0,0.025974,279.04
August,1,8:00,52,0.0,0.0,280.83,121,0.0,0.0,294.88,312,5.0,0.016026,283.39,146,2.0,0.013699,269.0
August,1,8:30,95,0.0,0.0,299.6,165,1.0,0.006061,322.2,450,4.0,0.008889,306.67,199,7.0,0.035176,280.86
August,1,9:00,138,1.0,0.007246,309.37,245,1.0,0.004082,338.92,637,4.0,0.006279,310.56,282,3.0,0.010638,286.47
August,1,9:30,178,1.0,0.005618,317.08,295,1.0,0.00339,341.66,800,17.0,0.02125,307.78,350,14.0,0.04,300.21
August,1,10:00,193,1.0,0.004181,325.64,373,1.0,0.0016809999999999998,352.45,907,26.0,0.028768,325.63,413,9.0,0.020791999999999998,294.86
August,1,10:30,240,1.0,0.0031669999999999997,326.21,418,4.0,0.008569,349.17,1006,48.0,0.047708,330.82,451,18.0,0.038911,312.56
August,1,11:00,249,1.0,0.0030159999999999996,325.24,457,3.0,0.005565,352.71,1073,23.0,0.021367,339.26,476,16.0,0.032612999999999996,314.36
August,1,11:30,262,1.0,0.002817,326.57,497,7.0,0.013085,368.29,1127,24.0,0.021183,338.67,515,15.0,0.030067999999999998,312.94
August,1,12:00,275,1.0,0.002636,316.46,559,4.0,0.007945,362.01,1137,54.0,0.047373,338.89,516,16.0,0.031946,309.71
August,1,12:30,269,1.0,0.002717,330.94,555,4.0,0.008008999999999999,371.41,1141,44.0,0.038439,341.94,534,8.0,0.015854,322.41
August,1,13:00,268,1.0,0.002731,340.21,574,2.0,0.004226,357.78,1127,25.0,0.02207,351.01,528,13.0,0.025515,320.83
August,1,13:30,278,1.0,0.002597,332.69,580,3.0,0.005897,355.41,1121,38.0,0.03379,348.98,546,15.0,0.028304,320.68
August,1,14:00,270,1.0,0.002704,328.66,606,4.0,0.007251,368.45,1143,34.0,0.029620999999999998,350.19,563,17.0,0.030972,317.96
August,1,14:30,291,1.0,0.002436,334.99,624,5.0,0.008615000000000001,365.71,1133,44.0,0.038718,349.61,555,28.0,0.051252,323.65
August,1,15:00,275,1.0,0.002636,322.59,632,2.0,0.0037470000000000003,373.21,1130,36.0,0.031743,349.05,552,28.0,0.051536,327.84
August,1,15:30,287,2.0,0.005969,333.31,610,6.0,0.010475000000000002,363.43,1119,97.0,0.086578,349.99,533,47.0,0.089056,321.55
August,1,16:00,274,1.0,0.00265,336.49,618,4.0,0.007090999999999999,378.7,1107,51.0,0.045974,351.75,581,26.0,0.045472,326.17
August,1,16:30,259,1.0,0.002861,338.91,596,2.0,0.004034,368.45,1053,20.0,0.018942999999999998,350.82,543,13.0,0.024783,317.31
August,1,17:00,224,1.0,0.003464,333.89,568,2.0,0.004282,365.77,996,17.0,0.017072,350.3,499,6.0,0.011023999999999999,333.04
August,1,17:30,198,1.0,0.004051,330.71,527,1.0,0.002795,368.51,911,17.0,0.018758999999999998,351.58,451,12.0,0.025608,318.15
August,1,18:00,178,1.0,0.004618,327.14,489,3.0,0.005135,373.58,802,21.0,0.026431,354.44,407,4.0,0.008827999999999999,316.62
August,1,18:30,148,1.0,0.005757,355.26,418,2.0,0.003785,362.62,728,8.0,0.011363000000000002,355.74,363,6.0,0.015528999999999998,317.16
August,1,19:00,99,0.0,0.0,359.32,398,4.0,0.009049999999999999,364.58,645,14.0,0.022255999999999998,342.79,326,9.0,0.026607,319.51
August,1,19:30,72,0.0,0.0,332.65,339,2.0,0.0049,344.86,563,18.0,0.032748,351.42,292,13.0,0.043521,320.89
August,1,20:00,56,0.0,0.0,341.02,286,3.0,0.009489999999999998,357.01,475,29.0,0.060053,346.55,243,13.0,0.052497999999999996,316.23
August,1,20:30,46,0.0,0.0,312.73,263,3.0,0.010407,362.61,404,10.0,0.023752,338.4,219,5.0,0.021831,301.78
August,1,21:00,33,0.0,0.0,334.92,222,1.0,0.0035050000000000003,354.31,344,3.0,0.0077209999999999996,344.12,179,18.0,0.099559,320.42
August,1,21:30,24,0.0,0.0,316.29,181,1.0,0.004525,337.06,278,4.0,0.013388,340.57,157,10.0,0.062694,327.74
August,1,22:00,22,0.0,0.0,318.29,136,1.0,0.007353,349.08,225,2.0,0.008889,338.97,124,2.0,0.016129,314.34
August,1,22:30,15,1.0,0.066667,371.87,117,0.0,0.0,322.35,181,1.0,0.005525,336.69,102,2.0,0.019608,300.28
August,1,23:00,12,1.0,0.083333,326.88,80,0.0,0.0,343.91,135,1.0,0.007407,327.3,79,0.0,0.0,297.13
August,1,23:30,9,0.0,0.0,236.2,70,0.0,0.0,348.07,108,1.0,0.009259,304.51,62,0.0,0.0,298.21
August,2,0:00,7,0.0,0.0,344.85,49,1.0,0.020408,315.08,74,1.0,0.013514,325.9,45,1.0,0.022222,325.91
August,2,0:30,5,0.0,0.0,389.17,32,0.0,0.0,350.95,56,0.0,0.0,323.98,29,0.0,0.0,342.31
August,2,1:00,4,0.0,0.0,333.93,12,1.0,0.083333,404.43,41,1.0,0.02439,332.3,25,0.0,0.0,333.72
